Geneid	GeneSymbol	Entrez	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
ENSMUSG00000000826	Dnajc5	13002	-0.0655869296206253	7.31105553068622	0.360952416025651	0.555251824515217	-0.0693116998462831	7.31105553068622	0.279133006571185	0.460946493418868	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000827	Tpd52l2	66314	-0.0972577699520271	6.29133649998376	0.162626245713468	0.335768738262911	-0.109872735840142	6.29133649998376	0.0776139739195682	0.190231371306632	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000838	Fmr1	14265	-0.102939700499617	6.78758976697411	0.290468361666437	0.487824868170511	0.128715132890637	6.78758976697411	0.139328980753889	0.286963533578636	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000869	Il4	16189	0.0464741382283167	0.0860559094428785	0.862970353585556	0.928045104705495	0.055601930783157	0.0860559094428785	0.821591182893692	0.899737486102491	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000876	Pxmp4	59038	0.145068011515503	4.3696324994667	0.181898386784883	0.361020469622723	0.157474906621134	4.3696324994667	0.104437355876016	0.234664143646016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000881	Dlg3	53310	0.0460239242377698	5.77600909582331	0.566727618224069	0.731992147909573	0.0252582486353037	5.77600909582331	0.725400857355137	0.838387918884209	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000884	Gnb1l	13972	-0.207604366822279	1.69194044051554	0.31551745558882	0.512504558413594	-0.070482862919464	1.69194044051554	0.703238751119787	0.823640964219883	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000901	Mmp11	17385	0.00612950392084323	6.04711007388271	0.961462383108494	0.98157576805343	-0.0357388362812891	6.04711007388271	0.75284057429411	0.857579961352469	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000902	Smarcb1	20587	-0.263533112886437	6.34265805284735	0.00509228088042052	0.0259217031009022	-0.338864669586904	6.34265805284735	6.38315992154221e-05	0.000686501650509321	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000915	Hip1r	29816	0.603364089556619	4.33177677634598	1.22773240599048e-08	4.68306248941007e-07	0.609940695872972	4.33177677634598	1.8009438051091e-10	8.79204784582957e-09	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000916	Nsun5	100609	-0.0734540611683908	3.2880644635421	0.49535344533887	0.677069821512393	-0.236500641309912	3.2880644635421	0.014144243125885	0.0531859236784066	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000934	Top1mt	72960	0.0252027853881188	3.51328365811973	0.824918060194898	0.904393955164238	-0.134830057964584	3.51328365811973	0.188002720373284	0.353236688850578	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000938	Hoxa10	15395	-0.0869525595414935	2.95219881702182	0.610282130412823	0.766148497483187	-0.179316774805515	2.95219881702182	0.268787171065004	0.449675079485943	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000942	Hoxa4	15401	-0.0289275782772426	2.17027463591369	0.881235086387601	0.937945363163399	-0.199079735679058	2.17027463591369	0.228376752537973	0.402352638046946	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000957	Mmp14	17387	0.0409053712359722	9.24959374508122	0.619367693298344	0.773277078200185	-0.0342653556661332	9.24959374508122	0.641478856521131	0.781244237009643	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000958	Slc7a7	20540	0.284634289384494	3.21230379741403	0.0509050454629217	0.148238145419713	0.422017513954608	3.21230379741403	0.000932075062711058	0.00616384729404484	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000959	Oxa1l	69089	0.0372793433613757	5.70432232510346	0.649804923290459	0.793343259025839	0.0925489923554084	5.70432232510346	0.208491067301053	0.378170964579541	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000976	Heatr6	217026	0.054101244844981	5.16274247526991	0.577203287298436	0.74047675529299	0.0291436434238173	5.16274247526991	0.736915058661837	0.846721262679647	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001016	Ilf2	67781	-0.263901890924644	5.81401561237143	0.00236013951062514	0.0140900318408117	-0.141025731269413	5.81401561237143	0.0690811540889917	0.175481589076352	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001017	Chtop	66511	-0.155084120036003	6.01861543293561	0.0396930979080002	0.123967264732759	-0.196028889700539	6.01861543293561	0.00373392565860405	0.0188728171804496	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001018	Snapin	20615	0.210056018525623	6.02204253599536	0.022200227388153	0.0802101673554284	0.186235412278529	6.02204253599536	0.0229608912875683	0.0773510572250062	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001020	S100a4	20198	0.428859214141268	7.26263702484461	1.98338918978167e-08	7.05731317677538e-07	0.431893123559206	7.26263702484461	4.14939590481985e-10	1.85477996945447e-08	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001021	S100a3	20197	1.15861196172161	0.619138084562944	5.50369496868022e-07	1.22054035398452e-05	1.19099005057913	0.619138084562944	2.86809921315762e-08	7.98157415272502e-07	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Up	Up
ENSMUSG00000001025	S100a6	20200	0.45933611501042	10.6488596884096	1.10231112457965e-05	0.000164073447720992	0.389109068481604	10.6488596884096	3.27524286838353e-05	0.00039171466546286	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001034	Mapk7	23939	0.0274056758650225	4.67188873309335	0.790112506542209	0.884028867138095	-0.0835090089452301	4.67188873309335	0.366651388777209	0.54957366290152	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001036	Epn2	13855	-0.0113160167007926	5.29256945582495	0.88780634699623	0.941456004296374	-0.0304031435568607	5.29256945582495	0.670542004508128	0.800486799573048	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001039	B9d1	27078	-0.0116612905460851	2.97940019136158	0.934944654471695	0.966759670954672	-0.0153287579258098	2.97940019136158	0.906214453440109	0.949772240768414	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001052	Sec24b	99683	0.0350690763310713	6.66809710320906	0.61531651716772	0.770033898649787	0.0220528376976378	6.66809710320906	0.723363376507095	0.837270572710591	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001053	N4bp3	212706	-1.15959971531372	-1.29439753555058	0.00419711054407521	0.0223429360708789	-0.825918014275761	-1.29439753555058	0.017713583342603	0.0632173393544393	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Down	NotSig
ENSMUSG00000001054	Rmnd5b	66089	-0.0864012380547988	4.23896244649335	0.454382440718448	0.642047066345224	-0.0100447191478645	4.23896244649335	0.922484129527502	0.959285324556196	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001056	Nhp2	52530	-0.250156055354858	5.17080561484254	0.050948215444515	0.148303474505157	-0.266802968399762	5.17080561484254	0.0208657629382493	0.0719016798527386	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001062	Vps9d1	72325	0.0827762738738698	4.30513761760478	0.372291081134677	0.566275162117229	0.0132059652449662	4.30513761760478	0.874277163573155	0.930482789016714	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001065	Zfp276	57247	0.304292008998105	3.99234860370845	0.008014826924305	0.0368275246788496	0.0776870555025961	3.99234860370845	0.452135539522055	0.628691237224019	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001082	Mfsd10	68294	-0.0938042901519612	5.16342811667886	0.391509705572537	0.585380286758031	-0.105895484438992	5.16342811667886	0.281461281196597	0.463780185779213	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001089	Luzp1	269593	-0.0391199893351133	7.08183219373888	0.614812230736309	0.769716043648127	-0.0138493935543872	7.08183219373888	0.842302775801973	0.911920898052635	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001098	Kctd10	330171	-0.0312794989514115	7.32110324122716	0.677823419980064	0.812910723517635	-0.0141258426212939	7.32110324122716	0.833863872613635	0.906420612042361	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001100	Poldip2	67811	-0.204073719032833	6.17119572561735	0.0204917050815243	0.0756812159788598	-0.137026710289218	6.17119572561735	0.0808657387093304	0.196018221741783	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001105	Ift20	55978	-0.101816751856457	5.1462754041374	0.31791996858046	0.515095958795757	-0.185647428361309	5.1462754041374	0.0414736955228965	0.120332604616534	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001119	Col6a1	12833	-0.31690404046637	9.73315769369243	0.0152767727780699	0.0604645705084426	-0.203110289281947	9.73315769369243	0.0826526873005598	0.199101387529001	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001120	Pcbp3	59093	0.00523015600521507	4.09968474819263	0.967928723512688	0.984306303222344	0.141633076171432	4.09968474819263	0.231790944425425	0.406315890816334	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001123	Lgals9	16859	0.0244711012660398	7.36345613248343	0.761462736796014	0.867021327916079	0.0368524689778066	7.36345613248343	0.6095247887017	0.758274706695871	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001127	Araf	11836	0.136415638406958	6.43027244794972	0.0883669153250879	0.22133073207526	0.14544261558996	6.43027244794972	0.042293131306697	0.122140308946294	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001128	Cfp	18636	0.487798339742342	1.91143744555601	0.00589096057740969	0.0289556674035193	0.144155262194765	1.91143744555601	0.368202343046224	0.550610714419207	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001131	Timp1	21857	0.339642005287785	10.2129768737143	0.000110387852606827	0.00115170521056751	0.247861079319378	10.2129768737143	0.00174438671112547	0.0102139487215382	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000001134	Uxt	22294	0.000871682205431911	3.02465317001123	0.994215828918915	0.997143683694865	-0.030781152231089	3.02465317001123	0.776826296136808	0.872945505533891	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
