Geneid	GeneSymbol	Entrez	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
ENSMUSG00000037894	H2az1	51788	-0.270124169872144	6.15942844950109	0.00136993253149703	0.00996210947501532	-0.248501026459969	6.15942844950109	0.00314074555825631	0.0167908028496864	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037896	Rcor1	217864	-0.000803366711184721	6.48177046776059	0.986670174099815	0.993627580834678	-0.00384897339378541	6.48177046776059	0.935946077944435	0.97073104714689	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037902	Sirpa	19261	-0.4212982369659	4.97902206544007	2.16142703182453e-08	6.25784588261579e-07	-0.49631943780061	4.97902206544007	3.74299447478982e-11	1.3386709651013e-09	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037904	Ankrd9	74251	0.155646908823123	2.23484671302749	0.248994602876499	0.464258736883328	0.0784072626894833	2.23484671302749	0.560407454763581	0.729745585940396	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037905	Bri3bp	76809	-0.151390190246719	5.65146396776898	0.00706970812988672	0.0368341276037019	-0.163938033716581	5.65146396776898	0.00336748730344192	0.0177567656302156	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037907	Ankrd13b	268445	0.205956426152436	5.21279943043698	0.000702220893045047	0.0058002699163272	0.163704713930418	5.21279943043698	0.00685677768137758	0.0315047744641528	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037913	Tmem156	243025	1.18304299191708	-1.6239955264524	0.0204713371015274	0.0839012831265415	1.89370578999722	-1.6239955264524	5.38488900066525e-05	0.000540964711101314	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	NotSig	Up
ENSMUSG00000037916	Ndufv1	17995	0.0529060722695844	6.02605945399912	0.277119778596331	0.496126358198834	0.0377683055179195	6.02605945399912	0.435688742569034	0.630189426570683	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037921	Ddx60	234311	1.29430884997371	-1.14610826120395	0.000754757967025893	0.00615424805299714	-0.289450476487106	-1.14610826120395	0.508943325175991	0.6894375142169	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	Up	NotSig
ENSMUSG00000037926	Ssh2	237860	0.224863843012986	3.9237276720981	0.00152589513291826	0.0108923519850582	0.225144441019366	3.9237276720981	0.00134701625443968	0.00842804264075366	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037933	Bicd2	76895	0.10459719190055	7.12555097176339	0.0147204397126735	0.0651045610362162	0.11540961520567	7.12555097176339	0.00692267260030623	0.031760713137363	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037935	Smarce1	57376	-0.0500804634036889	6.58912641475943	0.352268632342461	0.574090204456948	-0.0893173326833075	6.58912641475943	0.0962540811607759	0.234089925383007	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000037936	Scarb1	20778	0.0208783053456304	5.91476229787095	0.697095189783096	0.83642275159399	0.0478360073012641	5.91476229787095	0.369594973144	0.569459685373038	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
