"","AcoCtrl2","AcoCtrl3","AcoCtrl4","AcoDT1","AcoDT2","AcoDT3","AcoDT4","AcoCtrl1"
"Apmap",2123,2642,1984,2092,2419,2635,2053,2305
"Cst7",132,226,176,186,372,436,312,160
"Syndig1",334,369,340,75,112,81,82,336
"Cst10",0,0,0,0,0,0,0,0
"Cst3",6803,8112,5587,4109,6932,5992,5612,8231
"Cstdc2",1,1,0,0,0,0,0,0
"Cst9",0,3,3,2,1,4,1,0
"Cst13",0,0,0,0,0,0,0,0
"Cst8",0,0,0,0,0,0,0,0
"Cst12",1,5,2,0,0,0,0,1
"Cstdc1",0,0,0,0,1,0,0,0
"Cst11",0,0,0,0,0,0,0,0
"Cstl1",3,2,4,3,0,0,0,2
"Napb",204,278,207,166,223,163,149,250
"Gzf1",590,866,569,415,629,574,439,785
"Nxt1",361,497,277,581,556,540,464,447
"Cd93",1362,1583,1377,1799,2049,2472,1862,1450
"Thbd",1522,1519,1199,1713,2443,3319,2043,1623
"Sstr4",1,0,0,0,1,3,1,0
"Foxa2",0,0,0,0,0,0,0,0
"Pax1",7,5,3,5,10,1,18,1
"Nkx2-2",0,0,1,0,0,0,0,0
"Nkx2-4",0,0,1,0,1,0,0,0
"Xrn2",2288,2781,1976,2848,3483,3413,2462,2761
"Kiz",130,208,124,107,139,135,109,206
"Ralgapa2",1656,2495,1668,2184,2841,2309,2163,2399
"Insm1",3,5,3,1,6,1,1,2
"Cfap61",15,23,23,20,19,17,26,21
"Ptges3-ps",4,5,0,8,2,8,3,5
"Crnkl1",933,1253,853,902,1159,1154,886,1264
"Naa20",1213,1447,1013,1506,1877,1633,1292,1432
"Rin2",2935,3909,2374,2483,2917,2934,2767,3661
"Slc24a3",889,1159,882,596,783,589,515,1071
"Gm14092",6,8,8,7,4,8,6,7
"Scp2d1",0,0,0,4,0,0,0,1
"Dtd1",485,464,359,259,326,361,236,449
"Smim26",187,206,162,187,209,184,146,201
"Sec23b",1287,1389,1129,2065,2625,2415,2019,1426
"Rbbp9",323,417,253,282,327,335,226,398
"Polr3f",551,533,389,514,592,576,433,541
"Dzank1",45,67,32,32,27,49,33,38
"Kat14",451,470,340,332,378,378,287,458
"Pet117",0,0,0,0,0,0,0,0
"Ovol2",32,61,32,26,37,34,37,28
"Mgme1",135,137,101,198,195,195,182,141
"Snx5",2949,3675,2713,4290,4888,5393,4591,3207
"Banf2",0,0,1,0,0,0,1,0
"Rrbp1",1593,1701,1356,2325,2872,2635,2436,2013
"Dstn",12673,13760,10425,17260,20476,20224,14867,15477
"Bfsp1",151,78,69,150,128,171,73,162
"Pcsk2",4,1,3,1,2,2,4,10
"Otor",0,0,0,0,0,0,0,0
"Snrpb2",669,871,613,890,1070,1105,807,836
"Kif16b",1267,1825,1250,952,1292,1314,899,1760
"Macrod2",31,69,43,43,35,33,32,43
"Flrt3",2506,3288,2219,1966,2408,2663,1775,3352
"Sel1l2",0,0,0,0,0,0,0,0
"Ndufaf5",160,168,114,149,174,162,157,161
"Esf1",455,549,448,461,588,586,401,598
"Tasp1",195,247,190,184,217,194,139,216
"Ism1",826,1140,825,209,438,609,296,1047
"Sptlc3",1139,2816,1582,1134,1293,1357,860,1714
"Btbd3",2063,3187,1840,4147,5420,3501,3625,2854
"Jag1",7156,6058,5207,5162,5982,6261,5233,8414
"Slx4ip",238,232,193,282,258,283,270,236
"Mkks",704,875,559,775,1063,960,685,744
"Snap25",29,36,18,2,4,0,0,29
"Ankef1",34,0,29,9,1,0,13,20
"Pak5",1,5,5,2,5,0,4,1
"Lamp5",0,0,0,0,1,0,2,0
"Plcb4",565,996,854,968,1104,1056,815,893
"Plcb1",261,316,304,279,359,346,303,341
"Tmx4",1331,1385,1126,958,1197,1248,920,1563
"Hao1",39,6,2,2,1,3,3,44
"Bmp2",1012,738,547,271,295,374,336,812
"Fermt1",1092,1526,973,1304,1416,1415,1244,1398
"Lrrn4",2,4,4,18,11,10,16,7
"Crls1",812,860,726,710,873,794,686,814
"Mcm8",134,119,116,308,325,322,224,129
"Trmt6",452,438,360,470,588,509,371,533
"Chgb",0,0,0,0,0,0,0,1
"Shld1",309,415,247,219,278,302,205,381
"Gpcpd1",1462,1971,1411,1326,1845,1568,1186,1965
"Prokr2",42,107,59,62,82,43,68,63
"Cds2",2215,2652,2373,2170,2411,2445,2005,2557
"Pcna",1831,1927,1379,2329,2855,2639,2115,1760
"Tmem230",619,699,545,541,620,653,565,708
"Slc23a2",1102,1119,865,904,986,1098,812,1333
"Rassf2",677,815,674,867,1100,1314,968,880
"Prnd",0,0,0,0,0,0,0,0
"Prn",0,0,0,0,0,0,0,0
"Prnp",9331,12130,8409,9897,12462,9805,9896,11160
"Erv3",22,35,18,14,15,10,18,21
"Adra1d",39,24,29,24,11,10,20,48
"Gm30732",49,75,57,97,108,120,117,113
"Smox",1302,608,646,1211,1757,1705,1624,1854
"Gm30679",9,9,5,7,15,15,18,17
"Rnf24",716,890,665,633,1134,925,834,1000
"Pank2",828,813,548,709,873,687,513,776
"Mavs",801,1031,709,607,992,881,647,980
"Ap5s1",255,264,175,198,248,191,206,250
"Cdc25b",837,952,543,1715,2219,2423,1599,938
"Cenpb",5091,5632,3996,4819,5922,5547,4670,5179
"Spef1",39,64,40,24,30,26,14,39
"1700037H04Rik",932,555,487,353,420,459,417,1126
"Hspa12b",393,390,314,193,275,225,181,470
"Siglec1",362,290,340,444,521,617,831,306
"Adam33",299,246,232,137,212,155,192,280
"Gfra4",2,5,2,0,0,1,1,0
"Atrn",2351,2814,2218,1882,2119,2438,1709,3301
"4930402H24Rik",1087,1081,958,588,869,777,743,1309
"Slc4a11",32,36,29,78,97,92,81,61
"Itpa",744,868,551,994,1132,1013,1027,817
"Ddrgk1",554,678,455,442,505,478,415,534
"Lzts3",377,381,293,107,154,161,143,375
"Ubox5",423,481,340,366,484,414,303,469
"Fastkd5",285,300,233,330,372,361,340,314
"Avp",3,0,1,0,1,4,1,11
"Oxt",0,0,0,0,0,0,0,0
"Mrps26",826,722,533,820,1049,955,726,750
"Ptpra",2488,3212,2214,2104,2853,2688,2095,3105
"Vps16",872,910,688,840,1052,893,814,925
"Pced1a",190,183,137,165,236,204,188,164
"Tmem239",3,3,2,12,16,11,17,0
"1700020A23Rik",0,2,0,5,3,5,14,0
"Cpxm1",651,621,396,1104,1464,1651,1874,623
"Ebf4",79,67,53,71,108,99,78,75
"Idh3b",1640,2167,1534,1243,1852,1885,1340,2009
"Nop56",1587,1286,1110,2098,2486,2565,1676,1729
"Tmc2",7,5,10,0,0,0,0,13
"Snrpb",2183,2130,1786,2480,2874,3013,2568,2286
"Tgm6",291,31,79,11,15,162,40,504
"Tgm3",4152,312,703,211,319,1534,522,5888
"Stk35",1206,1215,1040,1384,1669,1557,1245,1294
"Pdyn",3,0,2,66,85,60,132,1
"Sirpa",3736,3999,3089,2903,4010,3755,3834,3900
"F830045P16Rik",152,330,200,0,1,2,5,184
"Il1b",79,230,115,2067,2764,2898,1387,147
"Il1a",311,400,341,222,444,422,236,552
"Ckap2l",454,377,321,948,943,936,657,551
"Slc20a1",814,743,682,1069,1310,1174,1031,972
"Chchd5",2,2,0,0,2,0,0,0
"Gm7209",0,0,0,0,0,0,0,0
"Polr1b",801,788,657,874,1040,1039,805,813
"Ttl",674,708,609,469,679,590,515,744
"Vinac1",8,19,12,7,7,8,9,13
"Zc3h6",723,1140,699,453,653,636,401,965
"Zc3h8",93,80,54,47,82,78,54,86
"Fbln7",2,0,0,0,0,2,1,1
"Tmem87b",1253,1517,1133,1390,1626,1567,1216,1428
"Mertk",858,1170,748,771,945,1109,1055,1066
"Anapc1",1674,1991,1530,2440,2738,2583,1954,2047
"Spdye4c",1,0,0,0,0,0,1,1
"Bcl2l11",511,879,570,643,886,951,767,673
"Acoxl",2,3,1,2,0,0,0,2
"Bub1",234,233,176,663,691,736,550,261
"Mtln",266,259,181,121,203,166,122,221
"Nphp1",383,448,337,267,310,320,262,461
"Mall",1313,1603,1179,906,1148,944,677,1639
"Mal",779,113,154,57,68,234,67,894
"Mrps5",573,650,474,540,750,662,505,626
"Zfp661",139,156,130,73,117,106,91,149
"Prom2",8246,11565,7522,7294,8556,7979,5541,10512
"Kcnip3",47,59,52,30,33,34,61,37
"Fahd2a",364,385,278,216,330,320,254,351
"Gpat2",3,12,12,8,5,9,7,9
"Adra2b",33,45,33,19,23,21,10,41
"Astl",39,23,26,9,13,12,8,39
"Dusp2",400,118,142,122,195,468,258,377
"Stard7",2622,3447,2497,1888,2246,2068,1579,2983
"Tmem127",3108,3514,2539,2932,3501,3343,2913,3595
"Ciao1",758,838,644,773,919,853,757,773
"Snrnp200",3437,4471,3248,4108,4673,4808,3813,4725
"Itpripl1",973,1234,800,1164,1306,1412,1224,1152
"Ncaph",505,727,450,1021,986,1019,803,650
"Blvra",434,751,385,222,228,163,190,482
"Ap4e1",457,629,419,378,458,440,342,594
"Sppl2a",2035,2648,1944,2972,3817,3356,2796,2488
"Trpm7",2973,4424,3143,3375,3772,3757,2896,4096
"Usp50",22,21,19,31,16,25,17,30
"Usp8",2138,2861,1980,2802,3578,3284,2513,3061
"Gabpb1",658,694,550,765,915,899,750,720
"Hdc",285,565,433,1075,1676,1010,1245,662
"Slc27a2",4,6,2,1,5,4,1,2
"Atp8b4",79,137,97,194,256,418,213,113
"Dtwd1",178,216,174,133,193,190,100,215
"Fam227b",2,0,4,3,0,1,4,2
"Fgf7",435,449,461,368,545,471,615,465
"Galk2",292,373,260,281,340,369,343,337
"Cops2",2505,3098,2227,2792,3312,3206,2605,3186
"Secisbp2l",13328,29469,17954,16652,20377,18870,15987,21683
"Shc4",72,45,57,31,31,26,35,74
"Eid1",3132,3030,2430,2017,2687,2513,2039,2747
"Cep152",242,309,242,284,309,291,278,314
"Fbn1",8812,6405,6494,5798,7112,6339,7649,10316
"Dut",388,366,271,591,656,634,530,372
"Slc12a1",16,9,9,0,1,31,3,16
"Ctxn2",0,0,0,0,0,0,0,0
"Myef2",165,178,117,94,152,150,117,190
"Slc24a5",12,8,8,11,16,15,16,13
"Sema6d",659,848,631,952,1190,922,963,761
"Agbl2",4,6,6,2,8,4,2,7
"Sqor",686,618,484,718,1008,872,807,787
"Bloc1s6",684,784,571,494,706,647,484,682
"Slc30a4",2006,2268,1701,3037,2984,3054,2503,2393
"AA467197",80,96,72,66,99,195,102,67
"Spata5l1",419,318,284,277,380,357,312,337
"Gatm",196,147,202,70,137,281,121,220
"Slc28a2",1,8,2,9,11,5,16,7
"Slc28a2b",1,3,4,2,2,5,2,7
"Shf",421,520,419,394,521,547,486,537
"Duox1",1005,1281,1148,2825,2836,2701,2129,1625
"Duoxa1",351,475,395,871,1062,957,769,613
"Duoxa2",7,7,9,21,9,23,11,14
"Duox2",16,6,10,28,31,30,41,9
"Sord",1244,1101,996,434,761,600,619,1166
"Terb2",1,5,1,2,1,3,3,3
"Patl2",256,389,266,58,115,71,40,326
"Trim69",0,1,0,4,0,6,0,1
"B2m",10931,16743,9735,12211,26393,26615,18751,12486
"Spg11",601,823,600,629,641,699,536,715
"Gm3650",1,5,1,5,0,2,2,1
"Eif3j1",2993,2791,2093,2492,2988,3062,2233,3576
"Ctdspl2",1069,1665,1141,1357,1711,1590,1219,1487
"Golm2",705,897,704,421,520,568,424,790
"Frmd5",77,9,10,3,6,27,8,67
"Wdr76",51,67,47,139,127,133,97,66
"Mfap1a",58,67,53,70,89,66,76,74
"Mfap1b",0,0,0,0,0,0,0,0
"Hypk",258,387,230,265,405,246,391,367
"Serinc4",14,36,21,10,13,18,15,31
"Serf2",3103,2961,2078,2205,2940,2713,2786,2923
"Ell3",41,53,42,27,51,59,50,33
"Pdia3",8572,9187,6305,14860,18307,16059,13418,9702
"Catsper2",43,54,34,28,48,36,51,42
"Strc",14,21,10,9,21,19,27,22
"Ckmt1",2314,2395,1613,3857,5035,4825,3493,2810
"Ppip5k1",1946,2422,1673,1259,1719,1552,1098,2261
"Map1a",659,752,684,414,619,603,480,855
"Trp53bp1",975,1023,860,814,997,1073,856,1320
"Tubgcp4",619,707,482,714,891,841,658,763
"Zscan29",527,566,434,430,611,627,452,614
"Adal",482,516,407,438,645,611,419,571
"Lcmt2",172,215,182,127,156,200,145,213
"Tgm7",50,68,50,29,37,28,22,76
"Tgm5",804,942,644,1732,2320,1689,1499,965
"Epb42",3,11,4,8,4,8,6,9
"Ccndbp1",332,359,261,274,402,347,231,385
"Tmem62",904,751,516,406,443,595,379,1240
"Ubr1",1637,1975,1687,1473,1784,1816,1496,2159
"Ttbk2",465,718,501,459,569,638,497,710
"Cdan1",484,539,389,438,536,558,457,521
"Stard9",512,709,574,361,484,539,460,752
"Haus2",856,856,624,799,956,991,681,808
"Lrrc57",491,481,336,391,450,478,384,507
"Snap23",1288,1385,1138,1631,1958,2023,1899,1400
"Zfp106",15845,20183,16476,12501,16264,14574,10984,20892
"Capn3",2484,2727,2422,725,1999,1181,1021,2773
"Ganc",203,227,246,138,159,126,120,245
"Tmem87a",1652,1842,1404,1439,1834,1653,1341,1604
"Vps39",1913,2654,1668,2054,2591,2278,2062,2308
"Pla2g4f",727,748,549,5408,6804,4220,4713,1060
"Pla2g4d",323,643,473,259,344,477,470,511
"Pla2g4e",863,1908,1063,4934,6972,5942,3962,1267
"Ehd4",1717,1800,1507,2233,2940,2654,2517,2072
"Sptbn5",138,144,112,122,161,173,151,182
"Pla2g4b",591,725,561,4350,6962,4241,3968,1104
"Jmjd7",133,114,87,129,146,121,119,143
"Mapkbp1",1034,1282,1014,1349,1544,1464,1230,1461
"Mga",2534,3594,2707,2486,2880,2573,2217,3510
"Tyro3",4282,5394,3675,4615,5000,4136,3987,4542
"Rpap1",820,674,561,763,838,830,675,797
"Ltk",10,11,20,2,6,11,7,17
"Itpka",76,61,43,37,84,96,61,44
"Rtf1",1469,1942,1344,1424,1835,1812,1294,1839
"Ndufaf1",533,547,459,385,656,565,391,573
"Nusap1",405,360,284,962,1008,1106,719,411
"Oip5",97,55,62,165,153,177,138,91
"Chp1",2915,3102,2270,2319,2879,2701,2298,3339
"Gm20056",0,0,0,0,0,0,0,0
"Exd1",79,94,70,57,78,74,54,71
"Ino80",1388,1616,1323,1382,1640,1620,1299,1598
"Chac1",2407,346,270,127,204,1424,399,4798
"Dll4",279,312,289,127,177,123,153,242
"Vps18",1148,1173,844,946,1149,1120,940,1185
"Rhov",1385,1371,1043,1287,1357,1378,1008,1350
"Spint1",3970,3250,2530,3182,3615,3532,2859,3934
"Ppp1r14d",3,2,1,0,2,0,2,2
"Zfyve19",117,147,95,101,142,146,128,145
"Dnajc17",199,223,139,111,150,146,130,201
"Gm14137",688,895,663,435,534,587,462,898
"Gchfr",129,146,92,64,115,57,95,89
"Rmdn3",885,1387,900,668,948,881,629,1119
"Rad51",282,233,181,828,879,760,617,288
"Knl1",551,571,502,1689,1637,1645,1230,742
"Rpusd2",308,235,197,269,293,292,230,312
"Ccdc32",531,544,417,427,494,582,376,620
"Chst14",390,271,230,256,263,285,273,365
"Bahd1",2139,1451,1248,1287,1494,1586,1295,2025
"Ivd",1159,1424,1150,810,1019,897,1026,1408
"Knstrn",175,192,126,421,372,422,281,275
"Disp2",1004,802,975,296,882,485,562,1120
"Phgr1",0,1,1,1,0,0,1,0
"Ccdc9b",624,828,569,546,853,609,510,884
"Inafm2",1532,1659,1299,1450,1854,1646,1381,1855
"Plcb2",284,407,232,280,391,635,341,330
"Ankrd63",79,31,41,18,44,35,22,66
"Pak6",2435,2106,1558,2445,2772,2782,1967,2758
"Bub1b",400,344,255,1017,955,1060,688,406
"Bmf",553,661,416,406,399,496,467,529
"Srp14",1938,2117,1416,1663,2300,1960,1709,2173
"Eif2ak4",372,483,357,417,483,511,386,468
"Gpr176",85,131,96,220,306,215,296,107
"Fsip1",7,13,3,8,11,12,3,5
"Thbs1",12880,16260,11314,10845,12886,19542,13173,19276
"Rasgrp1",975,1672,1064,426,661,723,426,1234
"Fam98b",569,549,449,556,667,633,449,583
"Spred1",3075,3700,3082,3665,4341,4382,3643,3726
"Tmco5",2,0,0,0,0,0,0,0
"Meis2",297,428,354,447,613,484,448,385
"Cdin1",65,90,78,92,125,116,93,87
"Dph6",757,954,665,865,1041,1088,800,914
"Zfp770",582,715,545,464,595,577,447,567
"Aqr",1648,1802,1342,2092,2422,2431,1856,1990
"Actc1",36,10,25,14,26,133,14,17
"Gjd2",0,2,0,0,0,0,0,0
"Arhgap11a",506,568,421,1227,1173,1283,869,591
"Scg5",0,0,3,0,0,2,2,1
"Grem1",403,791,502,907,1155,970,1308,556
"Fmn1",815,1165,833,725,950,815,736,1331
"Tmco5b",0,0,0,1,0,0,0,1
"Ryr3",131,237,168,149,151,133,83,195
"Aven",287,295,226,277,330,346,282,289
"Chrm5",7,9,2,6,7,11,4,12
"Emc7",1193,1609,1055,1136,1542,1328,1051,1495
"Katnbl1",1102,1110,802,1002,1082,1065,837,1299
"Emc4",527,597,434,472,634,574,485,640
"Slc12a6",1368,1934,1275,1176,1457,1444,1288,1759
"Nop10",929,886,767,1199,1446,1318,1055,1125
"Nutm1",0,0,0,0,0,0,1,1
"Lpcat4",383,119,171,86,139,211,147,376
"Gm52523",0,0,1,0,3,1,2,0
"Olfr1309",0,0,0,0,0,0,0,0
"Olfr1310",0,0,0,0,0,0,0,0
"Olfr1311",0,0,0,0,0,0,0,0
"Olfr1316",0,0,0,0,0,0,0,0
"Olfr1318",0,0,0,0,0,0,0,0
"Olfr1317",0,0,0,0,0,0,0,0
"Olfr1314",0,0,0,0,0,0,0,0
"Olfr1308",0,0,0,0,0,0,0,0
"Olfr1312",0,0,0,0,0,0,0,0
"Olfr1306",0,0,0,0,0,0,0,0
"Olfr1305",0,0,0,0,0,0,0,0
"Olfr1303",0,0,0,0,0,0,0,0
"Olfr1302",0,0,0,0,0,0,0,0
"Olfr1290",0,0,0,0,0,0,0,0
"Olfr1299",0,0,0,0,0,0,0,0
"Olfr1297",0,0,0,0,0,0,0,0
"Olfr1295",0,0,0,0,0,0,0,0
"Olfr1289",0,0,0,0,0,0,0,0
"Olfr1288",0,1,0,1,0,0,0,0
"Olfr1285",0,0,0,0,0,0,0,0
"Olfr1281",0,0,0,0,0,0,0,0
"Olfr1278",0,0,0,0,0,0,0,0
"Olfr1277",0,0,0,0,0,0,0,0
"Olfr1276",0,0,0,0,0,0,0,0
"Olfr1275",0,0,0,0,0,0,0,0
"A26c3",0,0,0,0,0,0,0,0
"Ano3",1,2,2,1,1,0,0,0
"Muc15",788,1576,913,1024,1070,1192,878,1383
"Slc5a12",8,1,0,1,0,4,1,7
"Fibin",604,619,595,420,842,589,765,558
"Bbox1",2549,4351,2381,588,762,586,354,2909
"Ccdc34",274,302,224,309,344,301,273,295
"Lgr4",3474,4585,3181,2161,2388,2982,2052,4758
"Lin7c",3145,4226,3089,3544,4099,3949,2739,4038
"Bdnf",86,103,53,26,24,24,24,76
"Kif18a",107,150,105,400,349,337,238,164
"Mettl15",273,404,284,222,297,302,184,337
"Kcna4",11,7,9,4,0,2,0,12
"Fshb",0,0,0,0,0,0,0,0
"Arl14ep",784,1076,721,749,984,828,786,949
"Mpped2",67,66,73,13,21,32,16,65
"Dcdc5",0,0,0,0,0,3,0,0
"Dnajc24",41,52,41,58,64,36,62,43
"Immp1l",281,386,238,257,392,290,242,351
"Elp4",156,128,106,206,238,230,187,162
"Pax6",0,9,3,2,9,5,3,7
"Rcn1",1806,1914,1399,2609,3230,2927,2405,1820
"Them7",36,118,62,28,24,13,30,53
"Wt1",0,1,0,2,2,0,2,0
"Eif3m",1777,1789,1385,1781,2039,2095,1563,1975
"Ccdc73",1,3,3,1,4,3,0,7
"Prrg4",1047,1544,1064,1101,1326,1293,946,1487
"Qser1",1432,2138,1638,1561,1726,2082,1438,2146
"Depdc7",103,96,90,119,115,111,127,137
"Tcp11l1",444,615,431,360,423,359,404,551
"Cstf3",649,645,524,781,908,803,729,749
"Hipk3",11212,13150,10471,8905,11158,11096,8045,14938
"D430041D05Rik",107,36,63,20,25,50,37,110
"A930018P22Rik",30,36,23,30,32,30,21,20
"Cd59b",877,1650,1076,537,754,632,537,1206
"Cd59a",2,9,4,6,5,5,4,8
"Fbxo3",1122,1676,1203,1278,1625,1560,1211,1544
"4931422A03Rik",11,8,4,1,9,8,7,11
"Lmo2",430,493,345,409,549,590,575,390
"Caprin1",7114,8834,6371,8347,9787,9731,7621,8006
"Nat10",882,856,708,913,1078,1112,804,996
"Abtb2",2311,2298,1735,1028,1333,1408,961,2522
"Cat",5545,8690,6112,3374,5496,4640,3682,7486
"Elf5",423,144,146,528,620,497,529,569
"Ehf",1278,1367,839,4052,4754,3684,3149,1676
"Apip",92,127,98,142,145,137,100,131
"Pdhx",688,756,560,550,699,635,496,690
"Cd44",14812,18585,13708,21216,25134,24098,18764,20288
"Slc1a2",70,127,88,97,109,158,63,110
"Pamr1",167,198,131,159,293,227,235,245
"Fjx1",909,560,612,515,530,637,419,817
"Trim44",1279,1629,1255,936,1293,1264,1062,1513
"Ldlrad3",934,1048,832,454,682,697,434,1025
"Commd9",420,475,304,405,451,417,400,389
"Prr5l",223,195,147,87,119,189,132,207
"Traf6",1011,1563,1027,1205,1479,1302,1088,1422
"Rag1",1,0,0,2,4,2,5,0
"Rag2",1,1,0,0,0,0,1,0
"Iftap",186,241,171,153,191,172,160,217
"Lrrc4c",70,102,61,47,58,81,57,92
"Api5",3553,4234,3255,5908,6872,6329,4828,4335
"Ttc17",811,1166,907,830,1116,1116,842,1145
"Hsd17b12",8796,16437,9855,9029,11578,10441,8487,11366
"Alkbh3",530,574,366,365,456,480,339,560
"Gm13889",636,630,613,240,465,441,393,511
"Accsl",1,10,9,1,1,5,3,4
"Accs",163,180,122,84,105,99,59,171
"Ext2",1706,1883,1445,2390,2695,2402,2231,1929
"Alx4",183,118,132,40,75,56,50,201
"Cd82",2349,2375,1775,883,1153,1893,1234,2814
"Tspan18",525,650,484,334,362,474,347,644
"Trp53i11",592,870,579,1379,1382,1184,1043,844
"Prdm11",91,100,88,54,71,69,64,98
"Syt13",119,172,187,117,145,82,70,284
"Chst1",182,105,104,44,69,67,73,162
"Slc35c1",572,638,483,483,698,645,552,623
"Cry2",1446,1916,1593,726,1290,1145,818,1822
"Mapk8ip1",2588,2524,1935,1593,2086,2051,1671,2660
"1700029I15Rik",3,7,4,3,5,5,6,7
"Pex16",889,1309,950,689,834,882,685,1128
"Large2",189,213,150,105,125,146,120,260
"Phf21a",1166,1730,1104,921,1227,1269,1073,1486
"Creb3l1",394,408,336,228,297,265,236,433
"Dgkz",2868,2351,2101,2133,2502,2893,2099,2967
"Mdk",80,50,72,27,45,49,45,82
"Chrm4",0,2,1,2,0,4,2,1
"Ambra1",1984,2631,1876,2033,2619,2584,1995,2704
"Harbi1",178,166,110,180,201,190,144,204
"Atg13",1648,1950,1410,1463,1792,1650,1444,1837
"Arhgap1",1330,1692,1222,1446,1922,1571,1533,1800
"Zfp408",507,546,436,363,424,449,342,551
"F2",9,2,6,5,4,2,3,9
"Ckap5",2322,2926,2207,2936,3102,3238,2618,3320
"Lrp4",4716,7700,4498,1483,1670,1494,1004,4979
"1110051M20Rik",162,294,132,80,123,122,105,197
"Arfgap2",1511,1626,1205,1574,1992,1874,1499,1639
"Pacsin3",1743,1736,1509,1012,1515,1214,969,1738
"Ddb2",124,197,114,138,216,176,154,155
"Acp2",593,665,505,484,812,849,718,689
"Nr1h3",180,187,162,123,228,193,124,183
"Madd",1075,1477,1008,1194,1557,1519,1207,1420
"Mybpc3",21,37,31,73,71,73,55,28
"Spi1",544,609,373,631,962,1186,968,496
"Slc39a13",725,670,543,460,660,618,562,713
"Psmc3",3329,3303,2369,4133,5607,4766,3669,3644
"Rapsn",279,210,181,112,159,142,144,267
"Celf1",3264,3731,2940,3747,4297,4184,3531,4117
"Ptpmt1",577,611,353,319,417,355,325,593
"Kbtbd4",619,707,496,459,523,526,461,610
"Ndufs3",1833,1843,1596,1609,2077,1912,1580,1837
"C1qtnf4",46,36,17,4,9,14,0,52
"Mtch2",4118,4589,3455,4230,5347,5195,3671,4810
"Fnbp4",1029,1185,896,979,1226,1218,1008,1397
"Nup160",798,883,766,1658,1862,1678,1287,941
"Ptprj",1396,1922,1354,1290,1790,1968,1444,1558
"Olfr1274",0,0,0,0,0,0,0,0
"Olfr1565",0,0,0,0,0,0,0,0
"Olfr1272",0,0,0,0,0,0,0,0
"Olfr142",0,0,0,0,0,0,0,0
"Olfr1270",0,0,0,0,0,0,0,0
"Olfr32",0,0,0,0,0,0,0,0
"Olfr1269",0,0,0,0,0,0,0,0
"Olfr140",0,0,0,0,0,0,0,0
"Olfr1264",0,0,0,0,0,0,0,0
"Olfr1263",0,0,0,0,0,0,0,0
"Olfr1262",0,0,0,0,0,0,0,0
"Olfr1261",0,0,0,0,0,0,0,0
"Olfr1260",0,0,0,0,0,0,0,0
"Olfr1255",0,0,0,0,0,0,0,0
"Olfr1253",0,0,0,0,0,0,0,0
"Olfr1245",0,0,0,0,1,0,0,0
"Olfr1243",3,0,0,0,0,0,0,0
"Olfr1242",0,0,0,0,0,0,0,0
"Olfr1240",0,0,0,0,0,0,0,0
"Plcxd1",281,364,244,106,203,136,91,313
"Gtpbp6",670,505,403,330,399,457,346,459
"Polr3k",538,607,446,390,482,473,441,520
"Pcmtd2",2195,2938,1996,1591,1919,1798,1642,2623
"Myt1",0,10,7,4,10,2,3,10
"Oprl1",7,4,3,0,0,0,1,3
"Lkaaear1",5,0,3,1,4,7,1,1
"Rgs19",303,323,239,307,382,483,414,246
"Tcea2",27,30,26,17,24,22,13,24
"Sox18",172,104,138,135,124,148,123,159
"Gm29797",9,12,8,9,7,10,13,6
"Prpf6",1500,1578,1248,1276,1643,1616,1212,1656
"Samd10",323,375,281,218,226,237,202,327
"Zfp512b",1282,1648,1177,670,1067,1151,815,1647
"Uckl1",726,952,655,368,592,583,372,844
"Dnajc5",3543,3819,2903,3039,3729,3492,2789,3676
"Tpd52l2",1963,2724,1773,1836,2345,2069,1834,2316
"Abhd16b",12,21,25,5,9,10,6,14
"Zbtb46",227,238,246,139,183,212,150,253
"Lime1",59,81,55,69,119,159,97,51
"Zgpat",323,303,216,276,368,377,304,376
"Arfrp1",1323,1129,871,920,1278,1178,1052,1258
"Rtel1",789,822,642,641,845,852,541,774
"Stmn3",83,81,61,12,18,31,17,81
"Gmeb2",952,1041,798,889,1006,1057,781,1094
"Helz2",803,1029,733,797,1145,1499,1001,1045
"Fndc11",9,12,8,3,5,12,6,8
"Srms",268,240,173,173,195,235,117,317
"Ptk6",1056,1853,1187,1082,1314,1032,866,1351
"Ppdpf",911,1194,753,443,627,614,540,1106
"Eef1a2",5190,5820,5183,1366,4316,3248,1905,5780
"Kcnq2",1,1,6,16,16,17,14,4
"Chrna4",23,26,17,4,6,7,6,20
"Col20a1",143,181,139,67,89,118,72,154
"Arfgap1",2002,2558,1615,1475,1980,1958,1535,2195
"Nkain4",24,16,16,1,8,8,7,16
"Birc7",0,0,1,0,0,0,0,1
"Ythdf1",1526,1660,1346,1678,2015,1923,1506,1728
"LOC118568482",2,1,0,3,1,1,0,0
"Bhlhe23",25,19,24,12,14,22,10,27
"Slc17a9",64,85,50,48,113,94,78,68
"Gid8",2728,3026,2176,2609,2977,3018,2157,3083
"Dido1",2895,3520,2775,2872,3452,3515,2596,3699
"Tcfl5",23,11,23,15,13,17,6,47
"Col9a3",22,9,9,8,3,5,7,14
"Ogfr",822,804,529,842,1002,1051,810,729
"Mrgbp",295,382,230,303,346,342,283,349
"Ntsr1",9,4,5,0,2,4,2,11
"Slco4a1",321,263,212,305,521,442,461,329
"Gata5",8,9,1,0,0,5,0,5
