"","AcoCtrl2","AcoCtrl3","AcoCtrl4","AcoDT1","AcoDT2","AcoDT3","AcoDT4","AcoCtrl1"
"Dtwd2",81,99,71,90,80,134,75,112
"Sema6a",1499,1638,1102,866,981,1506,1068,2413
"Commd10",689,874,590,631,746,797,608,925
"Arl14epl",0,0,1,2,3,0,0,1
"Lvrn",129,207,164,170,288,444,323,224
"Ap3s1",1148,1723,1097,1424,1786,1490,1411,1537
"Atg12",1050,1328,871,987,1192,1086,1007,1182
"Cdo1",3060,2602,2354,1257,1924,2037,1301,2808
"Eif1a",624,599,475,815,1012,857,811,711
"Tmed7",3097,3846,2885,4140,4834,4419,3763,3931
"Ticam2",125,154,91,116,160,176,162,108
"Fem1c",1422,1792,1355,1435,1733,1615,1433,1988
"LOC118567496",0,0,0,0,0,0,0,0
"Ccdc112",88,104,78,89,101,129,102,125
"Pggt1b",668,864,630,940,997,1002,784,928
"Trim36",294,176,197,104,133,217,123,404
"Kcnn2",71,149,120,42,62,63,38,146
"Ythdc2",787,906,728,784,847,933,783,889
"Mcc",2704,3305,2327,1258,1747,1698,1022,3232
"Dcp2",1536,2162,1481,1644,1993,1930,1580,1942
"Myot",4587,5524,4712,1496,4092,3017,1675,4708
"Npy6r",0,0,1,0,0,1,0,0
"Spink11",0,0,0,0,0,0,0,0
"Spinkl",0,0,0,0,0,0,0,0
"Gm10267",0,1,0,1,0,0,0,1
"Gm37797",110,28,26,14,8,139,21,159
"Spink12",8,4,5,2,4,4,4,0
"Spink6",206,5,15,19,15,64,22,232
"Spink14",1,0,0,0,0,0,0,0
"Spink5",12944,22163,13849,34127,36336,22527,26706,19956
"Gm94",4780,10868,6311,4503,5174,2759,3683,8015
"Scgb3a2",0,1,0,3,4,0,0,0
"Spink1",0,0,0,19,18,9,28,0
"Jakmip2",2,4,2,0,2,2,1,5
"Dpysl3",2120,2453,2199,2163,2588,2873,2117,3261
"Stk32a",8,2,4,2,2,2,2,1
"ND5",0,0,0,0,0,0,0,0
"ND4",3135,5465,2719,2197,3701,2254,3053,4763
"LOC118568718",0,0,0,0,0,0,0,0
"Ppp2r2b",210,269,197,59,89,58,35,206
"Gpr151",5,5,2,2,3,5,0,5
"Tcerg1",1543,1799,1405,1852,2104,2134,1640,2115
"Pou4f3",2,0,0,0,1,0,1,1
"Rbm27",1569,2003,1492,1913,2352,2289,1740,2336
"Lars",2120,1958,1640,2216,2691,2677,1886,2465
"Plac8l1",1,0,0,0,0,2,0,0
"Sh3rf2",1615,2341,1541,897,1298,1046,622,2070
"Grxcr2",1,3,3,2,0,5,0,5
"Prelid2",129,70,52,26,37,53,43,109
"Kctd16",105,118,46,20,43,27,22,140
"Yipf5",1402,1772,1279,2014,2464,2111,1844,1724
"Pabpc2",2,0,0,1,1,3,1,2
"Nr3c1",5059,7356,5241,3900,4844,5002,3843,6357
"Arhgap26",578,753,648,503,583,794,549,789
"Gm5820",3,6,8,3,5,1,1,4
"Fgf1",935,1303,975,518,829,665,439,1020
"Spry4",286,216,199,79,181,126,160,263
"Ndfip1",4877,4511,3354,3294,4428,3993,3373,5186
"Gnpda1",633,542,488,678,833,884,819,628
"Rnf14",1198,1292,982,894,1097,1110,858,1216
"Pcdh12",124,153,120,64,95,89,95,132
"Dele1",985,1121,885,779,1136,997,877,989
"Pcdh1",3817,5180,3718,4862,5805,5365,3883,5951
"Arap3",368,338,331,302,393,470,336,436
"Fchsd1",794,648,518,850,1162,1155,867,1022
"Rell2",0,3,2,0,2,0,5,1
"Hdac3",1733,2433,1658,1408,1746,1661,1410,2304
"Diaph1",4455,4728,3927,5101,6408,6445,5253,5430
"Pcdhgc5",10,17,14,10,13,13,18,18
"Pcdhgc4",18,23,13,18,26,16,21,21
"Pcdhgc3",1499,1658,1410,2393,2496,2467,2223,1753
"Pcdhga12",50,107,85,47,57,46,47,63
"Pcdhga11",73,94,70,73,69,81,52,101
"Pcdhgb6",69,120,87,60,83,91,92,115
"Pcdhga8",19,23,19,20,21,19,23,30
"Pcdhga7",30,42,17,12,23,17,26,39
"Pcdhga3",25,39,43,30,32,32,37,41
"Gm38667",0,0,0,0,0,0,0,0
"Gm38666",0,0,0,0,0,0,0,0
"Gm37013",0,0,0,0,0,0,0,0
"Pcdhgb2",64,111,73,67,79,95,62,89
"Pcdhgb7",101,146,108,75,95,108,96,139
"Pcdhga10",105,108,91,74,82,85,73,132
"Pcdhgb5",73,87,82,56,71,67,54,83
"Pcdhgb4",46,74,65,35,56,54,35,64
"Pcdhga6",53,46,57,35,63,46,42,57
"Pcdhga5",54,91,81,59,64,95,69,78
"Pcdhga4",29,26,23,22,29,38,23,59
"Pcdhgb1",29,54,28,28,30,38,29,35
"Pcdhga2",16,19,20,14,16,9,14,21
"Pcdhga1",33,53,47,20,26,24,21,59
"Pcdhga9",41,57,44,31,41,43,37,56
"Taf7",810,847,595,721,967,928,848,864
"Slc25a2",2,3,5,6,5,7,9,6
"Pcdhb22",50,77,55,84,86,84,65,101
"Pcdhb21",24,23,14,27,42,30,34,36
"Pcdhb20",61,107,70,140,183,132,135,105
"Pcdhb19",81,113,83,91,114,81,102,84
"Pcdhb18",33,93,42,76,91,68,49,39
"Pcdhb17",28,47,41,33,36,47,31,36
"Pcdhb16",55,91,47,88,102,73,103,67
"Pcdhb15",37,34,43,36,63,44,42,52
"Pcdhb14",73,97,67,81,116,125,111,75
"Pcdhb13",54,62,45,85,110,74,52,54
"Pcdhb12",71,116,76,131,223,141,119,106
"Pcdhb11",9,12,8,13,16,7,19,8
"Pcdhb10",0,1,1,4,11,7,6,2
"Pcdhb9",12,8,6,9,14,12,9,5
"Pcdhb7",0,0,0,0,0,0,0,0
"Pcdhb6",24,47,49,38,40,42,24,28
"Pcdhb8",0,0,0,0,0,0,0,0
"Pcdhb5",65,81,42,59,77,75,67,73
"Pcdhb4",17,24,15,11,16,12,24,22
"Pcdhb3",18,30,12,23,28,25,20,15
"Pcdhb2",10,12,6,10,10,9,4,7
"Pcdhb1",0,2,2,0,1,0,1,0
"Pcdha6",0,0,0,0,0,0,0,0
"Pcdhac2",54,61,45,39,60,60,39,60
"Pcdha7",0,0,0,0,0,0,0,0
"Pcdha5",9,10,3,5,2,2,4,17
"Pcdha3",3,1,0,4,4,0,0,2
"Pcdha2",0,1,0,1,0,0,0,1
"Pcdhac1",3,3,1,2,1,3,2,5
"Pcdha12",25,23,12,12,17,17,11,32
"Pcdha11",0,1,0,0,2,3,1,2
"Pcdha10",0,1,0,0,2,0,2,2
"Pcdha9",5,1,1,1,0,3,1,2
"Pcdha8",3,4,5,2,8,3,1,3
"Pcdha4",0,0,0,0,0,0,0,0
"Pcdha1",5,1,0,0,1,1,1,4
"Zmat2",1731,1932,1409,1456,1865,1831,1389,1742
"Hars2",586,692,552,581,735,661,545,613
"Hars",1732,1854,1320,1819,2240,2087,1542,2020
"Dnd1",29,29,19,21,32,30,43,37
"Wdr55",211,150,141,184,263,190,175,188
"Ik",1269,1648,1009,1367,1770,1648,1252,1753
"Ndufa2",1058,1022,781,628,874,758,687,885
"Tmco6",249,248,180,170,220,220,168,204
"Cd14",168,134,121,105,174,196,145,158
"E230025N22Rik",264,33,51,21,17,35,13,238
"Slc35a4",2551,2475,2024,2532,3140,3186,2389,2456
"Apbb3",456,462,311,248,346,338,237,440
"Sra1",650,648,499,527,689,671,537,619
"Eif4ebp3",222,260,211,185,229,211,239,330
"Ankhd1",3404,4511,3410,3665,4159,4319,3362,5638
"Slc4a9",28,34,30,13,17,9,10,36
"Hbegf",240,221,144,838,1022,996,1071,263
"Pfdn1",359,360,287,411,493,440,413,373
"Cystm1",1246,923,868,354,821,564,640,1348
"Pura",3612,5044,3790,3882,4409,4062,3591,4726
"Igip",0,0,0,0,0,0,0,0
"Nrg2",380,119,152,40,63,172,55,395
"Psd2",11,9,19,3,16,13,6,25
"Cxxc5",1479,1055,1036,550,775,777,682,1464
"Ube2d2a",3174,3152,2314,2836,3417,3268,2570,2988
"Sting1",89,111,59,257,345,508,350,103
"1700066B19Rik",7,6,6,3,4,4,3,6
"Ecscr",366,455,345,260,404,392,340,421
"Dnajc18",735,811,626,418,617,572,470,808
"Spata24",7,3,2,1,2,7,7,8
"Prob1",599,680,506,237,343,395,213,642
"Mzb1",25,23,15,7,15,14,11,15
"Slc23a1",154,214,126,235,303,93,208,180
"Paip2",1800,2698,1680,1203,1735,1438,1351,2220
"Matr3",4355,4461,3429,3989,4683,4577,3334,4247
"Sil1",814,969,664,555,715,683,550,846
"Ctnna1",9237,9139,7178,8753,10544,9983,8559,12209
"Lrrtm2",52,71,81,48,65,50,86,95
"Gm46617",45,35,30,17,23,37,32,55
"Hspa9",6091,6701,5226,7147,9009,8942,6311,6724
"Etf1",5968,5853,4711,6757,8331,7908,5745,7173
"Egr1",2642,2757,2148,1997,2979,2403,2329,3608
"Reep2",19,38,43,13,22,18,14,32
"Kdm3b",2672,3337,2487,2319,2785,3006,2111,3200
"Fam53c",1488,1627,1256,1152,1565,1427,1155,1544
"Cdc25c",9,7,4,17,20,17,21,14
"Gfra3",315,618,358,265,307,364,297,510
