Geneid	GeneSymbol	Entrez	logFC_DTvsC	logCPM_DTvsC	PValue_DTvsC	PAdj_DTvsC	sig	up	down	sig_col
ENSMUSG00000069678	Pcgf1	69837	-0.326530641915333	2.79648630332503	0.0720890323205305	0.0971090818271801	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069682	Gm10275	19897	-0.08328501149931	4.72498865364925	0.472318379180537	0.528097234358576	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069717	Gm11568	432600	8.23750308374731	6.85183815275337	5.53579497333275e-290	1.38889740853662e-287	TRUE	TRUE	FALSE	Up
ENSMUSG00000069718	Gm11563	100040248	9.64644117855565	7.51542930008665	0	0	TRUE	TRUE	FALSE	Up
ENSMUSG00000069721	Krtap3-2	66708	5.61911238803045	7.37426356177385	0	0	TRUE	TRUE	FALSE	Up
ENSMUSG00000069722	Krtap3-3	66380	10.7268267987628	7.22818538336539	3.38322532020441e-272	7.57065244287363e-270	TRUE	TRUE	FALSE	Up
ENSMUSG00000069727	Zfp975	434179	-1.48987238442006	2.41361485274162	1.21871827808753e-14	6.82243271360765e-14	TRUE	FALSE	TRUE	Down
ENSMUSG00000069729	Arid1b	239985	0.304449574880123	7.29205785908891	0.0130720542480701	0.0201433227520746	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069743	Zfp820	75424	-1.16057553958594	2.34363673117537	1.37122871097261e-06	3.62776421552891e-06	TRUE	FALSE	TRUE	Down
ENSMUSG00000069744	Psmb3	26446	0.67025699857121	6.68879391474125	3.58279876933052e-13	1.7950851685732e-12	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069755	3110053B16Rik	382686	0.311768943174814	2.27271933207345	0.0778827392837004	0.104147644334878	FALSE	FALSE	FALSE	NotSig
ENSMUSG00000069763	Tmem100	67888	-2.32119750480999	3.31284014231962	1.13802034898746e-21	1.01642281331625e-20	TRUE	FALSE	TRUE	Down
ENSMUSG00000069769	Msi2	76626	-0.310704472788669	6.66838430281432	0.000508578781131852	0.00096788369575478	FALSE	FALSE	FALSE	NotSig
