Geneid	GeneSymbol	Entrez	logFC_DTvsC	logCPM_DTvsC	PValue_DTvsC	PAdj_DTvsC	sig	up	down	sig_col
1700030J22Rik	1700030J22Rik	69528	0.757986655048292	-0.231931768055043	0.00871443445619774	0.0195939375911446	FALSE	FALSE	FALSE	NotSig
1700030K09Rik	1700030K09Rik	72254	-0.244031570639989	2.47383537226221	0.144405229580843	0.217480228487425	FALSE	FALSE	FALSE	NotSig
1700034J05Rik	1700034J05Rik	73344	-0.332575132893041	-0.318444742565855	0.344362687939732	0.443512351325002	FALSE	FALSE	FALSE	NotSig
1700037H04Rik	1700037H04Rik	67326	-0.799446381520538	4.52352488312683	0.000889097800762252	0.00266208875226211	FALSE	FALSE	FALSE	NotSig
1700056E22Rik	1700056E22Rik	73363	-0.655968830318685	0.589466298332583	0.0316051880512895	0.0600409521471281	FALSE	FALSE	FALSE	NotSig
1700066M21Rik	1700066M21Rik	73467	0.184112754446685	4.68133892419829	0.130960580347028	0.200137882576496	FALSE	FALSE	FALSE	NotSig
1700067K01Rik	1700067K01Rik	73453	-0.610781925399482	0.212467993037258	0.0267359382322674	0.0520370255608479	FALSE	FALSE	FALSE	NotSig
1700088E04Rik	1700088E04Rik	27660	0.443764223339674	5.45957755777361	0.000854766718611753	0.00257332144046441	FALSE	FALSE	FALSE	NotSig
1700102P08Rik	1700102P08Rik	112418	-0.167694817955094	-0.22891225080122	0.700253602031484	0.772487109841812	FALSE	FALSE	FALSE	NotSig
1700123O20Rik	1700123O20Rik	58248	0.521770191009904	4.10348070418431	0.000192022562679289	0.000673668560128169	FALSE	FALSE	FALSE	NotSig
1810009A15Rik	1810009A15Rik	66276	0.496563375033237	1.78252718118273	0.0141570637634327	0.0299988181147139	FALSE	FALSE	FALSE	NotSig
1810010H24Rik	1810010H24Rik	69066	-0.354910748552623	1.86157418800543	0.0926870886641466	0.149312695507692	FALSE	FALSE	FALSE	NotSig
1810013L24Rik	1810013L24Rik	69053	0.136847455017931	6.78418298777645	0.186863248030137	0.269650993095731	FALSE	FALSE	FALSE	NotSig
1810024B03Rik	1810024B03Rik	329509	-0.496288389033845	0.205209430104713	0.100783439319139	0.160347608647515	FALSE	FALSE	FALSE	NotSig
1810030O07Rik	1810030O07Rik	69155	-0.218285108580887	4.82714121556218	0.0504788270933779	0.0894780643255347	FALSE	FALSE	FALSE	NotSig
1810037I17Rik	1810037I17Rik	67704	1.0963421148109	6.2445810719488	1.31845257772357e-14	2.90157375153912e-13	TRUE	TRUE	FALSE	Up
1810055G02Rik	1810055G02Rik	72056	0.289897461698978	4.00306495088535	0.0115252714089682	0.025022592331561	FALSE	FALSE	FALSE	NotSig
1810058I24Rik	1810058I24Rik	67705	-0.464876185720844	5.05288590719012	2.9951112175884e-05	0.000127041706292504	FALSE	FALSE	FALSE	NotSig
2200002D01Rik	2200002D01Rik	72275	0.25260888452739	3.13574928517592	0.0592489121915642	0.102321471013793	FALSE	FALSE	FALSE	NotSig
2210016F16Rik	2210016F16Rik	70153	0.102575524986292	5.76764257917617	0.377448843207844	0.476769027616618	FALSE	FALSE	FALSE	NotSig
2210016L21Rik	2210016L21Rik	72357	0.280206024732957	3.06500021288211	0.106077223102133	0.167441039722672	FALSE	FALSE	FALSE	NotSig
2210408I21Rik	2210408I21Rik	72371	-0.121063364834397	2.90911168438645	0.469001227881559	0.569050695545682	FALSE	FALSE	FALSE	NotSig
2300002M23Rik	2300002M23Rik	69542	0.483044032781478	3.02991503898463	0.281106993159781	0.376153363061708	FALSE	FALSE	FALSE	NotSig
2300003K06Rik	2300003K06Rik	100502865	-1.81583713261195	-0.959563041815538	0.0302054025694666	0.0577664693544221	FALSE	FALSE	FALSE	NotSig
2300009A05Rik	2300009A05Rik	69478	-0.10830904287285	2.17590737801892	0.657940662375734	0.739952524453656	FALSE	FALSE	FALSE	NotSig
2310002L09Rik	2310002L09Rik	71886	-1.21276682106655	3.27732657307964	2.42414895595979e-07	1.57010093764557e-06	TRUE	FALSE	TRUE	Down
2310009B15Rik	2310009B15Rik	69549	0.447838288442354	2.20723977367166	0.0184520219213476	0.037793267213387	FALSE	FALSE	FALSE	NotSig
2310011J03Rik	2310011J03Rik	66374	0.333472752234187	5.32224153316492	0.0158540787406154	0.0330952157759269	FALSE	FALSE	FALSE	NotSig
2310022A10Rik	2310022A10Rik	66367	-0.288828247546264	5.06572621148101	0.0100768953027766	0.0222459574380243	FALSE	FALSE	FALSE	NotSig
2310022B05Rik	2310022B05Rik	69551	-0.107746585359899	6.07898566259781	0.33340442322536	0.43180278255297	FALSE	FALSE	FALSE	NotSig
2310030G06Rik	2310030G06Rik	66952	-0.208513239189968	2.84142193079437	0.193326573062894	0.276930280853878	FALSE	FALSE	FALSE	NotSig
2310033P09Rik	2310033P09Rik	67862	-0.203419922066675	4.11704136461846	0.0907250345692667	0.146625020458262	FALSE	FALSE	FALSE	NotSig
2310039H08Rik	2310039H08Rik	67101	-0.432336333426477	3.43202495955448	0.000909501943977659	0.00271605442621716	FALSE	FALSE	FALSE	NotSig
