"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Gset all","Gset all","Gset all",311,0.44337648932473,1.86693448511803,5.14862736013477e-08,2.05945094405391e-07,NA,1578,"tags=31%, list=15%, signal=27%","Ngfr/Ntrk2/Angpt1/Pde5a/C3/Igfbp3/Mapk8ip2/Wnt16/Igfbp6/Apoe/Flt1/Edn1/Ret/Cdon/Esr1/C1qtnf3/Ednra/Cxcl12/Madd/Fzd5/Gdf6/Fgf1/Pdgfra/Fzd8/Fzd4/Gas6/C1qtnf1/Rassf2/Peli2/Tlr6/Timp2/Il6/Itga1/F2r/Nrp1/Lpar2/Ager/Il6ra/Ksr1/Tpbg/Tgfb3/Sema7a/Map3k5/Insr/Ankrd6/Csf1r/Traf5/Htr2a/Fgd4/Spry2/Nox4/Bmp4/Glipr2/Sorbs3/Ghr/Mapk8ip1/Bcar3/C1qtnf2/Wnt5a/Adam17/Tnik/Cavin3/Cdh2/Adra2a/Gsdme/Maged1/Ar/Emc10/Traf6/Sod1/Tlr3/Gadd45b/Egfr/Ptpn1/Pdgfa/Nptn/Zfp622/Lrp1/Pdgfb/Map2k3/Tgfb2/Prxl2c/Erbb2/Nqo2/Avpi1/Ajuba/Map3k3/App/Spag9/Myd88/Map3k10/Pdgfd/Arrb1/Taok2/Map4k2"
"Gset not in map","Gset not in map","Gset not in map",227,0.435878053122654,1.7650358913027,9.4821182574289e-06,1.89642365148578e-05,NA,1173,"tags=27%, list=11%, signal=24%","Pde5a/C3/Igfbp3/Wnt16/Igfbp6/Apoe/Edn1/Cdon/Esr1/C1qtnf3/Ednra/Cxcl12/Madd/Fzd5/Gdf6/Fzd8/Fzd4/Gas6/C1qtnf1/Rassf2/Peli2/Tlr6/Timp2/Il6/Itga1/F2r/Nrp1/Lpar2/Ager/Il6ra/Ksr1/Tpbg/Sema7a/Ankrd6/Traf5/Htr2a/Fgd4/Spry2/Nox4/Bmp4/Glipr2/Sorbs3/Ghr/Bcar3/C1qtnf2/Wnt5a/Adam17/Tnik/Cavin3/Cdh2/Adra2a/Gsdme/Maged1/Ar/Emc10/Sod1/Tlr3/Ptpn1/Nptn/Zfp622/Lrp1"
"Gset and map","Gset and map","Gset and map",84,0.500284914518146,1.75140774459999,0.0011228103149021,0.00149708041986947,NA,1578,"tags=33%, list=15%, signal=29%","Ngfr/Ntrk2/Angpt1/Mapk8ip2/Flt1/Ret/Fgf1/Pdgfra/Tgfb3/Map3k5/Insr/Csf1r/Mapk8ip1/Traf6/Gadd45b/Egfr/Pdgfa/Pdgfb/Map2k3/Tgfb2/Erbb2/Map3k3/Myd88/Map3k10/Pdgfd/Arrb1/Taok2/Map4k2"
"Map genes","Map genes","Map genes",217,0.355283608041091,1.43539416063477,0.00365125903915129,0.00365125903915129,NA,1611,"tags=24%, list=15%, signal=20%","Ngfr/Ntrk2/Angpt1/Mapk8ip2/Pla2g4c/Rasgrp3/Flt1/Ret/Mapk11/Fgf1/Pdgfra/Angpt4/Cacna1a/Tgfb3/Rps6ka1/Map3k5/Insr/Csf1r/Il1r1/Hspa1b/Mapk8ip1/Cdc25b/Cacna1c/Ereg/Mapk13/Relb/Mecom/Traf6/Rras/Map3k8/Cacnb2/Gadd45b/Egfr/Pdgfa/Dusp1/Pdgfb/Map2k3/Tgfb2/Cacnb1/Bdnf/Erbb2/Map3k3/Cacna2d1/Ppp3cc/Myd88/Map3k10/Pdgfd/Arrb1/Taok2/Map4k2/Map4k3"
