"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Gset all","Gset all","Gset all",309,0.441732917693088,1.78044040989786,5.9802234901068e-08,2.39208939604272e-07,NA,1730,"tags=33%, list=16%, signal=29%","Pdgfb/Tpd52l1/Il6/Adra1b/Tgfb3/Adra2a/Epor/Icam1/Pdgfd/Igf2/Thpo/Peli2/Tnfrsf11a/Adra2b/Cdon/Ntrk2/Pdgfrb/Cd40/Apoe/Lmnb1/Pde5a/Tek/Fzd4/Angpt1/Lrrk2/Ackr3/Ptk2b/Gsdme/Nod1/Il34/Insr/Ankrd6/Ager/Ntrk3/Lpar2/Vegfa/Rassf2/Traf5/Ar/Gadd45b/Eda2r/Fgfr2/Akap12/Gpnmb/Nqo2/Denn2b/Itga1/Flt1/C1qtnf1/C1qtnf3/Rock2/Jcad/Rara/Il6ra/Zc3h12a/Mst1r/Plce1/Edn1/Tbx1/Lrp1/Sorbs3/Thbs1/Map3k12/Dixdc1/Fgf1/Prxl2c/Nox4/Hand2/Igfbp6/Gab1/Abca7/Ror2/Ndrg4/Ntf3/Itgb3/Akap13/Mid1/Ccn2/Map3k1/Timp2/Adam8/Gas6/Rasgrp1/Igfbp4/Htr2a/Map2k6/Ajuba/Igf1r/Bmp4/Tgfbr1/Arhgef5/Mapk8ip3/Cd81/Map3k5/Fgfr3/Ednra/Csf1r/Rell1/P2ry6/Dusp19/Pdgfra/P2rx7"
"Gset not in map","Gset not in map","Gset not in map",227,0.450058672178252,1.76697130651059,3.41888001420673e-06,6.83776002841347e-06,NA,2240,"tags=41%, list=21%, signal=33%","Tpd52l1/Il6/Adra1b/Adra2a/Epor/Icam1/Thpo/Peli2/Tnfrsf11a/Adra2b/Cdon/Cd40/Apoe/Lmnb1/Pde5a/Fzd4/Lrrk2/Ackr3/Ptk2b/Gsdme/Nod1/Il34/Ankrd6/Ager/Ntrk3/Lpar2/Rassf2/Traf5/Ar/Eda2r/Akap12/Gpnmb/Nqo2/Denn2b/Itga1/C1qtnf1/C1qtnf3/Rock2/Jcad/Rara/Il6ra/Zc3h12a/Mst1r/Plce1/Edn1/Tbx1/Lrp1/Sorbs3/Thbs1/Dixdc1/Prxl2c/Nox4/Hand2/Igfbp6/Gab1/Abca7/Ror2/Ndrg4/Itgb3/Akap13/Mid1/Ccn2/Timp2/Adam8/Gas6/Igfbp4/Htr2a/Ajuba/Bmp4/Arhgef5/Cd81/Ednra/Rell1/P2ry6/Dusp19/P2rx7/Esr1/Acta2/Sema4c/C1qtnf2/Mturn/Lpar1/Pycard/Dab2/Sash1/Ddr2/Tlr3/Eif2ak2/Dvl3/Ptprj/Sh3rf3/Ksr1"
"Gset and map","Gset and map","Gset and map",82,0.433085375425691,1.52201468352805,0.0197465752715048,0.0263287670286731,NA,1580,"tags=30%, list=15%, signal=26%","Pdgfb/Tgfb3/Pdgfd/Igf2/Ntrk2/Pdgfrb/Tek/Angpt1/Insr/Vegfa/Gadd45b/Fgfr2/Flt1/Map3k12/Fgf1/Ntf3/Map3k1/Rasgrp1/Map2k6/Igf1r/Tgfbr1/Mapk8ip3/Map3k5/Fgfr3/Csf1r"
"Map genes","Map genes","Map genes",216,0.329573814573603,1.28634608868229,0.0434782608695652,0.0434782608695652,NA,1580,"tags=23%, list=15%, signal=20%","Pdgfb/Efna3/Cacna1g/Tgfb3/Rasgrp2/Pdgfd/Igf2/Map3k8/Il1r1/Ntrk2/Fos/Pdgfrb/Dusp8/Cacnb4/Csf1/Tek/Angpt1/Cacna1c/Rasgrp3/Insr/Vegfa/Mapt/Gadd45b/Fgfr2/Mapk13/Flt1/Map3k12/Fgf1/Fgf7/Rac3/Ntf3/Map3k1/Angpt4/Rasgrp1/Rras/Cacnb3/Map2k6/Cacna1a/Mef2c/Igf1r/Cacnb1/Tgfbr1/Dusp1/Mapk8ip3/Efna5/Map3k5/Fgfr3/Pgf/Jund/Csf1r"
