"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Gset all","Gset all","Gset all",305,0.252664142883177,1.14366488717093,0.104999771835954,0.251523321809721,0.251523321809721,1732,"tags=26%, list=16%, signal=23%","Wnt16/Adra1b/Ntrk3/Il6/Apoe/Gdf6/Epor/Bmp4/Eda2r/Ednra/Pycard/Igfbp6/Bmper/Hand2/Gsdme/Csf1r/Rasgrp1/Myd88/Flt1/Pdgfc/Xdh/Edn1/Pdgfb/Nqo2/C1qtnf1/Igf2/Gadd45b/Cdon/Denn2b/Cxcl12/Thbs1/Tnfrsf11a/Gadd45a/Fzd4/Tlr3/Itga1/Nenf/Map3k10/Pdgfra/Cavin3/Gas6/Angpt1/Nod1/Ackr3/Zc3h12a/Insr/Ajuba/Adam17/Plce1/Erp29/Traf5/Egfr/Trpv4/Stk39/Ankrd6/Ccn2/Lrp1/Ager/Lamtor2/Mst1r/Lpar1/Rell1/Pdgfrb/Erbb2/Emc10/Fzd8/Dnajc27/Dok5/Ntf3/Acta2/Tek/Tlr6/Avpi1/Map3k1/Esr1/Wwc1/Map2k1/Arrb1/Pde5a/Traf6"
"Gset not in map","Gset not in map","Gset not in map",225,0.25457215440898,1.11649873874611,0.125761660904861,0.251523321809721,0.251523321809721,1408,"tags=23%, list=13%, signal=20%","Wnt16/Adra1b/Ntrk3/Il6/Apoe/Gdf6/Epor/Bmp4/Eda2r/Ednra/Pycard/Igfbp6/Bmper/Hand2/Gsdme/Xdh/Edn1/Nqo2/C1qtnf1/Cdon/Denn2b/Cxcl12/Thbs1/Tnfrsf11a/Fzd4/Tlr3/Itga1/Nenf/Cavin3/Gas6/Nod1/Ackr3/Zc3h12a/Ajuba/Adam17/Plce1/Erp29/Traf5/Trpv4/Stk39/Ankrd6/Ccn2/Lrp1/Ager/Lamtor2/Mst1r/Lpar1/Rell1/Emc10/Fzd8/Dnajc27"
"Map genes","Map genes","Map genes",214,0.244661642706269,1.06609047202177,0.257668711656442,0.343558282208589,0.343558282208589,1732,"tags=25%, list=16%, signal=22%","Angpt4/Cacna1g/Rasgrp2/Pgf/Map3k8/Mapk12/Csf1r/Rasgrp1/Myd88/Flt1/Artn/Pdgfc/Pdgfb/Rasgrp3/Ddit3/Fos/Igf2/Gadd45b/Mapk13/Gadd45a/Rps6ka6/Cacna1a/Il1r1/Relb/Map3k10/Csf1/Pdgfra/Myc/Atf4/Angpt1/Jund/Rras/Epha2/Insr/Ecsit/Dusp8/Ppp3cc/Mapk11/Cacnb1/Egfr/Mknk1/Map3k14/Tnfrsf1a/Pdgfrb/Erbb2/Ntf3/Dusp16/Tek/Dusp7/Tgfbr2/Map3k1/Map2k1/Arrb1/Traf6"
"Gset and map","Gset and map","Gset and map",80,0.265960867765431,1.00725264892119,0.460714285714286,0.460714285714286,0.460714285714286,1732,"tags=28%, list=16%, signal=23%","Csf1r/Rasgrp1/Myd88/Flt1/Pdgfc/Pdgfb/Igf2/Gadd45b/Gadd45a/Map3k10/Pdgfra/Angpt1/Insr/Egfr/Pdgfrb/Erbb2/Ntf3/Tek/Map3k1/Map2k1/Arrb1/Traf6"
