"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Gset all","Gset all","Gset all",303,0.390059714336634,1.62085410913639,1.41044308119211e-05,5.64177232476844e-05,NA,2198,"tags=35%, list=21%, signal=29%","Ntrk3/Adra1b/Il6/Tek/Eda2r/Ednra/Tnfrsf11a/Gas6/Ret/Gper1/Flt1/Apoe/Csf1r/Edn1/Igfbp6/Ackr3/C1qtnf2/Rasgrp1/Tlr6/Ager/C1qtnf1/Tpbg/Itga1/Fzd4/Adra2a/Pdgfc/Plce1/Gpnmb/Gsdme/Tgfb3/Bmper/Xdh/Nod1/Thbs1/Pde5a/Pdgfa/Esr1/Nmnat1/Traf5/Tmem106a/Sorbs3/Abca7/Mapk8ip1/Mst1r/Myd88/Tgfa/Tlr3/Pdgfra/Cdon/Nqo2/Cd81/Map3k10/Gadd45a/Ndrg4/Pdgfrb/Bcar3/Madd/Map3k5/Zc3h12a/Mapk3/Ccn2/Cavin3/Ksr1/Lpar1/Il11/Acta2/Thpo/Denn2b/Nenf/Trpv4/Emc10/Erbb2/Timp2/Wwc1/Insr/Traf4/Maged1/Adam17/Ajuba/App/Lamtor2/Lrp1/Rell1/F2r/Traf6/Arrb1/Jak2/Igf1r/Tbx1/Ptpn1/Fzd5/Fermt2/Eif2ak2/Gab1/Epha4/Tgfb2/Avpi1/Lif/Bmp4/Sh3rf3/Rb1cc1/Rassf2/Vegfa/Ltbr/Gadd45b/Ryk/Cib1"
"Gset not in map","Gset not in map","Gset not in map",224,0.393347470034998,1.57647484753815,0.00017304217005495,0.000346084340109901,NA,2225,"tags=37%, list=21%, signal=30%","Ntrk3/Adra1b/Il6/Eda2r/Ednra/Tnfrsf11a/Gas6/Gper1/Apoe/Edn1/Igfbp6/Ackr3/C1qtnf2/Tlr6/Ager/C1qtnf1/Tpbg/Itga1/Fzd4/Adra2a/Plce1/Gpnmb/Gsdme/Bmper/Xdh/Nod1/Thbs1/Pde5a/Esr1/Nmnat1/Traf5/Tmem106a/Sorbs3/Abca7/Mst1r/Tlr3/Cdon/Nqo2/Cd81/Ndrg4/Bcar3/Madd/Zc3h12a/Ccn2/Cavin3/Ksr1/Lpar1/Il11/Acta2/Thpo/Denn2b/Nenf/Trpv4/Emc10/Timp2/Wwc1/Traf4/Maged1/Adam17/Ajuba/App/Lamtor2/Lrp1/Rell1/F2r/Jak2/Tbx1/Ptpn1/Fzd5/Fermt2/Eif2ak2/Gab1/Epha4/Avpi1/Lif/Bmp4/Sh3rf3/Rb1cc1/Rassf2/Ltbr/Ryk/Cib1/Fzd8"
"Map genes","Map genes","Map genes",213,0.398313037127273,1.58888794223092,0.000308556486606479,0.000411408648808638,NA,1047,"tags=21%, list=10%, signal=19%","Tek/Cacna1g/Rasgrp2/Fos/Ret/Flt1/Angpt4/Csf1r/Pgf/Il1r1/Hspa1l/Fas/Rasgrp1/Hspa1b/Dusp8/Nr4a1/Pdgfc/Cacna1a/Csf1/Tgfb3/Rasgrf2/Map3k8/Jund/Pdgfa/Ddit3/Dusp6/Mapk8ip1/Rras/Cacna1c/Myd88/Tgfa/Epha2/Pdgfra/Rps6ka6/Rps6ka1/Mapk12/Map3k10/Gadd45a/Pdgfrb/Mknk1/Map3k5/Ppp3cc/Mapk11/Mapk3/Fgf7"
"Gset and map","Gset and map","Gset and map",79,0.394228896139919,1.37653875824805,0.0326561642662091,0.0326561642662091,NA,1027,"tags=22%, list=10%, signal=20%","Tek/Ret/Flt1/Csf1r/Rasgrp1/Pdgfc/Tgfb3/Pdgfa/Mapk8ip1/Myd88/Tgfa/Pdgfra/Map3k10/Gadd45a/Pdgfrb/Map3k5/Mapk3"
