"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Gset all","Gset all","Gset all",313,0.409477494435354,1.72750922886767,4.74588477236461e-06,1.89835390894585e-05,9.99133636287287e-06,1537,"tags=29%, list=14%, signal=25%","Wnt16/Ngfr/Cxcl12/Mapk8ip2/C3/Pde5a/Angpt1/Gas6/Ednra/Apoe/Flt1/Cdon/Igfbp6/Fzd4/Tnfrsf11a/Igfbp3/Pdgfra/Fzd8/Esr1/C1qtnf1/Ntrk2/Gdf6/Peli2/Fzd5/C1qtnf2/Itga1/Glipr2/Fgf1/Ksr1/Nrp1/Tlr6/Traf5/Rassf2/Tpbg/Ghr/Adam8/Timp2/Eda2r/Cavin3/Il6ra/Edn1/Tnik/Map3k5/Il6/Wnt5a/Lpar2/Bcar3/Bmp4/Ret/Egfr/Tmem106a/Sorbs3/Mapk8ip1/Emc10/F2r/Ar/Insr/Icam1/Ager/Maged1/Nptn/Fgd4/Madd/Lpar1/Tlr3/Adam17/Mid1/Fbxw7/Erbb2/Htr2a/Pdgfa/Sema7a/Nqo2/Ptpn1/Prxl2c/Arrb1/Ltbr/Stk25/Zfp622/P2ry6/Stk3/Nenf/Gadd45b/Ackr3/Rap1a/Gsdme/Map3k10/Lrp1/C1qtnf3/Sod1"
"Gset not in map","Gset not in map","Gset not in map",229,0.416755258578967,1.69427399649013,2.12289392963838e-05,4.24578785927677e-05,2.23462518909304e-05,1537,"tags=31%, list=14%, signal=27%","Wnt16/Cxcl12/C3/Pde5a/Gas6/Ednra/Apoe/Cdon/Igfbp6/Fzd4/Tnfrsf11a/Igfbp3/Fzd8/Esr1/C1qtnf1/Gdf6/Peli2/Fzd5/C1qtnf2/Itga1/Glipr2/Ksr1/Nrp1/Tlr6/Traf5/Rassf2/Tpbg/Ghr/Adam8/Timp2/Eda2r/Cavin3/Il6ra/Edn1/Tnik/Il6/Wnt5a/Lpar2/Bcar3/Bmp4/Tmem106a/Sorbs3/Emc10/F2r/Ar/Icam1/Ager/Maged1/Nptn/Fgd4/Madd/Lpar1/Tlr3/Adam17/Mid1/Fbxw7/Htr2a/Sema7a/Nqo2/Ptpn1/Prxl2c/Ltbr/Stk25/Zfp622/P2ry6/Nenf/Ackr3/Gsdme/Lrp1/C1qtnf3/Sod1"
"Gset and map","Gset and map","Gset and map",84,0.391009056668926,1.40263555096169,0.0524462405932809,0.0699283207910412,0.0368043793637059,1921,"tags=29%, list=18%, signal=24%","Ngfr/Mapk8ip2/Angpt1/Flt1/Pdgfra/Ntrk2/Fgf1/Map3k5/Ret/Egfr/Mapk8ip1/Insr/Erbb2/Pdgfa/Arrb1/Stk3/Gadd45b/Rap1a/Map3k10/Myd88/Map3k3/Tgfb3/Taok2/Prkca"
"Map genes","Map genes","Map genes",218,0.27185500146612,1.09707440958822,0.227350427350427,0.227350427350427,0.11965811965812,1512,"tags=17%, list=14%, signal=15%","Ngfr/Pla2g4c/Angpt4/Mapk8ip2/Angpt1/Flt1/Mapk11/Pdgfra/Rasgrp3/Ntrk2/Il1r1/Fgf1/Cacna1a/Map3k5/Ereg/Ret/Egfr/Hspa1b/Mapk8ip1/Insr/Cdc25b/Map4k3/Cacna2d1/Rps6ka1/Artn/Map3k8/Erbb2/Rras/Pdgfa/Relb/Mecom/Arrb1/Tnfrsf1a/Stk3/Gadd45b/Rap1a/Map3k10/Ppp3cc"
