"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Gset all","Gset all","Gset all",309,0.459742380542231,1.88568194669477,1.38755197297791e-09,5.55020789191164e-09,NA,1763,"tags=34%, list=16%, signal=29%","Tpd52l1/Il6/Epor/Pdgfb/Icam1/Tgfb3/Igf2/Pdgfd/Adra1b/Adra2a/Adra2b/Ackr3/Apoe/Tnfrsf11a/Angpt1/Il34/Peli2/Ntrk3/C1qtnf1/Cd40/Lpar2/Tek/Vegfa/Ntrk2/Gsdme/Pdgfrb/Nod1/Pde5a/Nox4/C1qtnf3/Thpo/Cdon/Il6ra/Ednra/Fzd4/Traf5/Insr/Lrrk2/Eda2r/Ager/Ptk2b/Ksr1/Rara/Itga1/Igfbp6/Flt1/Akap12/P2rx7/Nqo2/Denn2b/Rasgrp1/Sorbs3/Ntf3/Zc3h12a/Gadd45b/Fgf1/Tbx1/Igfbp4/Thbs1/Ror2/Rassf2/Ar/Rock2/Tlr3/Mst1r/Ccn2/Gab1/Prxl2c/Akap13/Dixdc1/Edn1/Fgfr2/Mid1/Jcad/Plce1/Map3k12/Tgfbr1/Igf1r/Rell1/Lrp1/Itgb3/Timp2/Abca7/Ndrg4/Htr2a/Ajuba/Map3k1/Ptpn22/Cd81/Map2k6/Sh3rf3/Fgfr1/Mapk8ip3/Sash1/Gas6/Gpnmb/Esr1/Arhgef5/Sema4c/Fgfr3/Mturn/Acta2/Adam8/P2ry6"
"Gset not in map","Gset not in map","Gset not in map",227,0.477530944668296,1.90142536497671,2.0075634063517e-08,4.01512681270341e-08,NA,1763,"tags=35%, list=16%, signal=30%","Tpd52l1/Il6/Epor/Icam1/Adra1b/Adra2a/Adra2b/Ackr3/Apoe/Tnfrsf11a/Il34/Peli2/Ntrk3/C1qtnf1/Cd40/Lpar2/Gsdme/Nod1/Pde5a/Nox4/C1qtnf3/Thpo/Cdon/Il6ra/Ednra/Fzd4/Traf5/Lrrk2/Eda2r/Ager/Ptk2b/Ksr1/Rara/Itga1/Igfbp6/Akap12/P2rx7/Nqo2/Denn2b/Sorbs3/Zc3h12a/Tbx1/Igfbp4/Thbs1/Ror2/Rassf2/Ar/Rock2/Tlr3/Mst1r/Ccn2/Gab1/Prxl2c/Akap13/Dixdc1/Edn1/Mid1/Jcad/Plce1/Rell1/Lrp1/Itgb3/Timp2/Abca7/Ndrg4/Htr2a/Ajuba/Ptpn22/Cd81/Sh3rf3/Sash1/Gas6/Gpnmb/Esr1/Arhgef5/Sema4c/Mturn/Acta2/Adam8/P2ry6"
"Map genes","Map genes","Map genes",216,0.362199796062565,1.43593544213185,0.00444513426190003,0.00592684568253338,NA,1535,"tags=23%, list=14%, signal=20%","Cacna1g/Pdgfb/Tgfb3/Igf2/Map3k8/Efna3/Pdgfd/Rasgrp2/Mapt/Angpt1/Il1r1/Dusp8/Fos/Tek/Vegfa/Ntrk2/Pdgfrb/Csf1/Cacna1c/Cacnb4/Insr/Rasgrp3/Flt1/Rasgrp1/Fgf7/Ntf3/Gadd45b/Fgf1/Mapk13/Fgfr2/Cacnb3/Map3k12/Tgfbr1/Rac3/Angpt4/Jund/Igf1r/Hspa1b/Nfatc1/Cacnb1/Mef2c/Rras/Map3k1/Dusp1/Pgf/Cacna1a/Map2k6/Fgfr1/Mapk8ip3"
"Gset and map","Gset and map","Gset and map",82,0.414733168414141,1.47233075296482,0.0183129204936815,0.0183129204936815,NA,1535,"tags=28%, list=14%, signal=24%","Pdgfb/Tgfb3/Igf2/Pdgfd/Angpt1/Tek/Vegfa/Ntrk2/Pdgfrb/Insr/Flt1/Rasgrp1/Ntf3/Gadd45b/Fgf1/Fgfr2/Map3k12/Tgfbr1/Igf1r/Map3k1/Map2k6/Fgfr1/Mapk8ip3"
