"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Gset all","Gset all","Gset all",305,0.289604129589557,1.28469066392033,0.0164112968339965,0.0656451873359859,0.051825147896831,1597,"tags=26%, list=15%, signal=23%","Wnt16/Gdf6/Igf2/Epor/Ntrk3/Il6/Bmp4/Adra1b/Apoe/Ednra/Rasgrp1/Igfbp6/Cxcl12/Gsdme/Ackr3/Denn2b/Angpt1/Flt1/Tek/Thbs1/Eda2r/Xdh/Ager/Bmper/Itga1/Pdgfb/Myd88/Gas6/Fzd4/Pdgfra/Tlr6/Cdon/Egfr/Fzd8/Edn1/Zc3h12a/Adam17/Csf1r/Cavin3/Traf5/Gadd45b/Ccn2/Nqo2/Rell1/Map3k10/Nod1/C1qtnf1/Insr/Esr1/Nenf/Emc10/Ntf3/Pdgfc/Tlr3/Wwc1/Pde5a/Lamtor2/Trpv4/Map2k1/Mid1/Jak2/Pycard/Gadd45a/Tnfrsf11a/Lpar1/Pdgfrb/Tgfb3/Traf6/Dnajc27/Acta2/Map3k5/Stk39/Sorbs3/Mst1r/Erp29/Erbb2/Tgfb2/Ptpn1/Ryk/Fermt2"
"Gset and map","Gset and map","Gset and map",80,0.341854264361998,1.2565121562448,0.0830945558739255,0.0830945558739255,0.0656009651636254,1551,"tags=29%, list=15%, signal=25%","Igf2/Rasgrp1/Angpt1/Flt1/Tek/Pdgfb/Myd88/Pdgfra/Egfr/Csf1r/Gadd45b/Map3k10/Insr/Ntf3/Pdgfc/Map2k1/Gadd45a/Pdgfrb/Tgfb3/Traf6/Map3k5/Erbb2/Tgfb2"
"Map genes","Map genes","Map genes",214,0.277831986743176,1.17952057640292,0.0579584594801039,0.0830945558739255,0.0656009651636254,1959,"tags=28%, list=18%, signal=23%","Angpt4/Igf2/Cacna1g/Map3k8/Rasgrp1/Rasgrp2/Mapk11/Il1r1/Angpt1/Flt1/Tek/Mapk12/Fos/Myc/Pdgfb/Rasgrp3/Myd88/Pdgfra/Cacna1a/Pgf/Jund/Egfr/Csf1r/Mknk1/Gadd45b/Vegfc/Map3k10/Rras/Map4k3/Insr/Map3k14/Atf4/Tgfbr2/Ntf3/Pdgfc/Ddit3/Il1rap/Tnfrsf1a/Ppp3cc/Map2k1/Gadd45a/Artn/Pdgfrb/Tgfb3/Traf6/Map3k5/Erbb2/Tgfb2/Dusp8/Elk1/Relb/Dusp16/Mef2c/Braf/Dusp7/Cacna1c/Rela/Hspa1b/Csf1"
"Gset not in map","Gset not in map","Gset not in map",225,0.27415946619012,1.16681677141789,0.0781564146764687,0.0830945558739255,0.0656009651636254,1487,"tags=24%, list=14%, signal=21%","Wnt16/Gdf6/Epor/Ntrk3/Il6/Bmp4/Adra1b/Apoe/Ednra/Igfbp6/Cxcl12/Gsdme/Ackr3/Denn2b/Thbs1/Eda2r/Xdh/Ager/Bmper/Itga1/Gas6/Fzd4/Tlr6/Cdon/Fzd8/Edn1/Zc3h12a/Adam17/Cavin3/Traf5/Ccn2/Nqo2/Rell1/Nod1/C1qtnf1/Esr1/Nenf/Emc10/Tlr3/Wwc1/Pde5a/Lamtor2/Trpv4/Mid1/Jak2/Pycard/Tnfrsf11a/Lpar1/Dnajc27/Acta2/Stk39/Sorbs3/Mst1r/Erp29"
