"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Gset all","Gset all","Gset all",303,0.379793786958841,1.60633897246391,3.29482755873443e-05,0.000131793102349377,3.46823953550993e-05,1543,"tags=26%, list=15%, signal=23%","Ntrk3/Il6/Adra1b/Ednra/Eda2r/Flt1/Tek/Gas6/Tnfrsf11a/Igfbp6/Gper1/Ret/Ackr3/Tlr6/Edn1/Plce1/Ager/Csf1r/Itga1/Gsdme/C1qtnf1/Bmp4/Xdh/Apoe/Thbs1/Tgfb3/Cdon/Rasgrp1/Ksr1/Fzd4/Nod1/Mst1r/Esr1/Tpbg/Abca7/Sorbs3/Bmper/Pdgfc/Cd81/Gpnmb/Pdgfrb/Sh3rf3/Ccn2/Pdgfra/Trpv4/Pde5a/Ndrg4/Fzd8/Tmem106a/Traf5/Timp2/Adam17/Zc3h12a/Map3k5/Pdgfa/Jak2/Map3k10/C1qtnf2/Erbb2/F2r/Mapk3/Cavin3/Lpar1/Gadd45a/Nqo2/Insr/Denn2b/Lrp1/Rb1cc1/Acta2/Thpo/Igf1r/Traf6/Fzd5/Wwc1/Igfbp4/Epha4/Emc10/Tbx1/Arrb1"
"Map genes","Map genes","Map genes",213,0.407271400709146,1.64761621290008,7.49551106346018e-05,0.000149910221269204,3.94500582287378e-05,1640,"tags=26%, list=15%, signal=23%","Cacna1g/Rasgrp2/Fos/Flt1/Tek/Angpt4/Ret/Il1r1/Hspa1b/Rps6ka6/Mapk11/Fas/Csf1r/Cacna1a/Jund/Tgfb3/Rasgrp1/Dusp8/Dusp6/Nr4a1/Areg/Rras/Map3k8/Hspa1l/Fgf7/Csf1/Pdgfc/Pdgfrb/Pdgfra/Map3k14/Cacna1c/Cacnb1/Ddit3/Mknk1/Epha2/Map3k5/Pdgfa/Map3k10/Erbb2/Mapk3/Rps6ka1/Gadd45a/Tnfrsf1a/Insr/Dusp7/Ppp3cc/Map4k3/Tgfbr2/Igf1r/Traf6/Dusp16/Arrb1/Pgf/Relb/Dusp5/Myd88"
"Gset not in map","Gset not in map","Gset not in map",224,0.387839785247649,1.57481756924343,0.000500391048746959,0.000667188064995946,0.00017557580657788,1770,"tags=30%, list=17%, signal=25%","Ntrk3/Il6/Adra1b/Ednra/Eda2r/Gas6/Tnfrsf11a/Igfbp6/Gper1/Ackr3/Tlr6/Edn1/Plce1/Ager/Itga1/Gsdme/C1qtnf1/Bmp4/Xdh/Apoe/Thbs1/Cdon/Ksr1/Fzd4/Nod1/Mst1r/Esr1/Tpbg/Abca7/Sorbs3/Bmper/Cd81/Gpnmb/Sh3rf3/Ccn2/Trpv4/Pde5a/Ndrg4/Fzd8/Tmem106a/Traf5/Timp2/Adam17/Zc3h12a/Jak2/C1qtnf2/F2r/Cavin3/Lpar1/Nqo2/Denn2b/Lrp1/Rb1cc1/Acta2/Thpo/Fzd5/Wwc1/Igfbp4/Epha4/Emc10/Tbx1/P2ry6/App/Maged1/Tlr3/Rell1/Cxcl12"
"Gset and map","Gset and map","Gset and map",79,0.354910753905505,1.2543887803984,0.103139013452915,0.103139013452915,0.0271418456455039,2226,"tags=32%, list=21%, signal=25%","Flt1/Tek/Ret/Csf1r/Tgfb3/Rasgrp1/Pdgfc/Pdgfrb/Pdgfra/Map3k5/Pdgfa/Map3k10/Erbb2/Mapk3/Gadd45a/Insr/Igf1r/Traf6/Arrb1/Myd88/Tgfb2/Tgfbr1/Tgfa/Mapk8ip1/Braf"
